Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
0;;;;;;;Product;;S2200287364;;00;BES M18ZI-PSC80B-S04G;000;L;;;;RELEASED;;;;;;;;;Yes;;;;;;;;
1;;;;;;;Approval document;;7000956480;Approval document;AB;CERT_UL_E117437-20230131;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Production document;;7200204892;Production document;AC;WIC BES Basic- single package;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Approval document;;7200208464;Approval document;AA;SF BES M08/12/18ZXX-PSCXXB-SXXG;000;D;;;;OBSOLETE;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;CAD-Document Drawing ;;7200261000;;AC;Thermodruck Vorlage/Thermoprint Template;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Approval document;;7200272336;Approval document;AA;SF BES M08/12/18ZXX-PSCXXB-SXXG;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Component;;S1200287547;;00;TM-BES M18ZI-PSC80B-S04G;000;L;;;;PUBLISHED;;;;;;;;;Yes;100;;;1;ea;;;S2200287364
2;;;;;;;Labeling / marking document;;7200005323;Labeling / marking document;AA;LASER-SCHRIFT AKT. FL. BES BASIC M18;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;CAD-Document Drawing ;;7200005336;;AD;HSL-SCHEMA M18ZI-PSC80B-S04G;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;Production document;;7200175898;Production document;AC;TI TM BES BBP M18;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
