Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
0;;;;;111;;Product;;S2200287364;;00;BES M18ZI-PSC80B-S04G;000;L;;;;RELEASED;;;;;;;;;Yes;;;;;;;;
1;;;;;;;Approval document;;7000956480;DOK;AB;CERT_UL_E117437-20230131;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Production document;;7200204892;DOK;AB;;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Approval document;;7200208464;QEP;AA;AF BES M08/12/18ZXX-PSCXXB-SXXG;000;D;;true;;OBSOLETE;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;CAD-Document Drawing;;7200261000;DRF - Prod. resource / tool;AC;THERMODRUCK VORLAGE/THERMOPRINT TEMPLATE;000;;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Approval document;;7200272336;QEP;AA;SF BES M08/12/18ZXX-PSCXXB-SXXG;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287364
1;;;;;;;Component;;S1200287547;;00;TM-BES M18ZI-PSC80B-S04G;000;L;;;;PUBLISHED;;;;;;;;;Yes;100;;;1;ea;;;S2200287364
2;;;;;;;Labeling / marking document;;7200005323;DRF;AA;LASER-SCHRIFT AKT. FL. BES BASIC M18;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;CAD-Document Drawing;;7200005336;DOK - Technical documents;AD;HSL-SCHEMA M18ZI-PSC80B-S04G;000;;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;Production document;;7200175898;DOK;AB;;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;Production document;;7200212913;DOK;AA;;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S1200287547
2;;;;;;;Component;;S1200138507;;00;EINFUELLTRICHTER FUER SCHAUM S04;000;L;;;;PUBLISHED;;;;;;;;;No;470;;;1;ea;;;S1200287547
3;;;;;;;CAD-Document Drawing;;7000835882;DRW - Material documents;09;EINFUELLTRICHTER SCHAUM S04;000;;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
3;;;;;;;Qualifiying document;;7000838936;QEP;00;MV NR.5585/138507 TRICHTER F. SCHAUM S04;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
3;;;;;;;Qualifiying document;;7000950650;QEP;00;EMPB-12011-138507-835882-EINFUELLTRICHTE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
